,created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
0,2019-10-18 19:00:26-05:00,47654,0.007,0.0073,0.0075,0.0066,0.0072,0.0059,0.0059,0.0072
1,2019-10-18 19:02:24-05:00,47655,0.0079,0.006,0.0085,0.0073,0.0104,0.0052,0.0092,0.0066
2,2019-10-18 19:04:25-05:00,47656,0.0116,0.0078,0.0115,0.0077,0.0119,0.0075,0.0117,0.0102
3,2019-10-18 19:06:26-05:00,47657,0.0148,0.0093,0.0172,0.0093,0.0147,0.0093,0.0161,0.0096
4,2019-10-18 19:08:26-05:00,47658,0.0174,0.0105,0.0186,0.0084,0.0189,0.0082,0.0197,0.0082
5,2019-10-18 19:10:25-05:00,47659,0.0243,0.0111,0.0241,0.0083,0.023,0.0108,0.0263,0.0096
6,2019-10-18 19:12:26-05:00,47660,0.0294,0.0126,0.0314,0.0098,0.0279,0.0117,0.0263,0.0115
7,2019-10-18 19:14:24-05:00,47661,0.0321,0.0108,0.0329,0.0105,0.0332,0.0111,0.0339,0.012
8,2019-10-18 19:16:26-05:00,47662,0.0402,0.0124,0.0384,0.0116,0.0389,0.0141,0.0376,0.0146
9,2019-10-18 19:18:25-05:00,47663,0.0449,0.0164,0.044,0.0153,0.0465,0.0173,0.0436,0.0168
10,2019-10-18 19:20:26-05:00,47664,0.054,0.0176,0.052,0.0187,0.0531,0.017,0.0541,0.0199
11,2019-10-18 19:22:25-05:00,47665,0.059,0.0202,0.0606,0.0203,0.0604,0.0179,0.0611,0.0206
12,2019-10-18 19:24:27-05:00,47666,0.0654,0.0217,0.069,0.0208,0.07,0.0203,0.0692,0.0233
13,2019-10-18 19:26:25-05:00,47667,0.0755,0.0248,0.0787,0.0226,0.0783,0.0248,0.0795,0.0263
14,2019-10-18 19:28:27-05:00,47668,0.0885,0.0266,0.0891,0.0227,0.0893,0.026,0.0915,0.0298
15,2019-10-18 19:30:25-05:00,47669,0.0918,0.0261,0.0954,0.0274,0.0957,0.0261,0.0997,0.029
16,2019-10-18 19:32:24-05:00,47670,0.1013,0.027,0.1047,0.0277,0.1029,0.0249,0.1058,0.03
17,2019-10-18 19:34:26-05:00,47671,0.1196,0.0294,0.1199,0.0284,0.1219,0.0297,0.1244,0.0337
18,2019-10-18 19:36:24-05:00,47672,0.1355,0.0328,0.1378,0.0296,0.1372,0.0302,0.1431,0.0345
19,2019-10-18 19:38:27-05:00,47673,0.1442,0.0336,0.1496,0.0313,0.1489,0.0295,0.1563,0.0358
20,2019-10-18 19:40:26-05:00,47674,0.1582,0.0326,0.1617,0.0318,0.168,0.0303,0.165,0.0351
21,2019-10-18 19:42:26-05:00,47675,0.168,0.0285,0.1699,0.0319,0.1718,0.03,0.1743,0.0344
22,2019-10-18 19:44:24-05:00,47676,0.1441,0.0263,0.1442,0.0234,0.1457,0.0254,0.1488,0.0278
23,2019-10-18 19:46:26-05:00,47677,0.0923,0.0238,0.0963,0.0207,0.0953,0.0197,0.0952,0.0241
